date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
10-2014,12.309982108920686,3,1.0,7.07326971745971,8.639410824140487,1.0,0,0,3,7,7.07326971745971,0,1955,1955,98178,47.5112,-122.257,1340,5650
12-2014,13.195613839143922,3,2.25,7.851661177889265,8.887652690325586,2.0,0,0,3,7,7.682482446534506,400,1951,1991,98125,47.721,-122.319,1690,7639
02-2015,12.100712129872347,2,1.0,6.646390514847729,9.210340371976184,1.0,0,0,3,6,6.646390514847729,0,1933,1933,98028,47.7379,-122.233,2720,8062
12-2014,13.311329476916953,4,3.0,7.580699752224563,8.517193191416238,1.0,0,0,5,7,6.956545443151569,910,1965,1965,98136,47.5208,-122.393,1360,5000
02-2015,13.142166004700508,3,2.0,7.426549072397305,8.997147151515142,1.0,0,0,3,8,7.426549072397305,0,1987,1987,98074,47.6168,-122.045,1800,7503
05-2014,14.018451401960965,4,4.5,8.597851094433691,11.532041582162458,1.0,0,0,3,11,8.266164436612492,1530,2001,2001,98053,47.6561,-122.005,4760,101930
06-2014,12.458774999085929,3,2.25,7.44716835960004,8.827468112520654,2.0,0,0,3,7,7.44716835960004,0,1995,1995,98003,47.3097,-122.327,2238,6819
01-2015,12.583995250631936,3,1.5,6.966024187106113,9.181014542594355,1.0,0,0,3,7,6.966024187106113,0,1963,1963,98198,47.4095,-122.315,1650,9711
04-2015,12.343658308482738,3,1.0,7.484368643286131,8.918650278126863,1.0,0,0,3,7,6.956545443151569,730,1960,1960,98146,47.5123,-122.337,1780,8113
03-2015,12.685407602204794,3,2.5,7.5443321080536885,8.788745881938135,2.0,0,0,3,7,7.5443321080536885,0,2003,2003,98038,47.3684,-122.031,2390,7570
04-2015,13.403775836842515,3,2.5,8.177515823846075,9.189729418072059,1.0,0,0,3,8,7.528331766707247,1700,1965,1965,98007,47.6007,-122.145,2210,8925
05-2014,13.056223574899784,2,1.0,7.05617528410041,8.699514748210191,1.0,0,0,4,7,6.756932389247553,300,1942,1942,98115,47.69,-122.292,1330,6000
05-2014,12.644327576461329,3,1.0,7.265429723253953,9.898525260706313,1.5,0,0,4,7,7.265429723253953,0,1927,1927,98028,47.7558,-122.229,1780,12697
10-2014,12.89921982609012,3,1.75,7.222566018822171,9.177817180270623,1.0,0,0,4,7,7.222566018822171,0,1977,1977,98074,47.6127,-122.045,1370,10208
03-2015,13.180632285528304,5,2.0,7.501082124259871,8.48673398393153,1.5,0,0,3,7,7.501082124259871,0,1900,1900,98107,47.67,-122.394,1360,4850
01-2015,13.38472764187182,4,3.0,7.989560449333865,8.517193191416238,2.0,0,3,3,9,7.590852123688581,970,1979,1979,98126,47.5714,-122.375,2140,4000
07-2014,12.886641043883259,3,2.0,7.5443321080536885,9.549665677579801,2.0,0,0,3,7,7.5443321080536885,0,1994,1994,98019,47.7277,-121.962,1890,14018
05-2014,13.091904169919621,4,1.0,7.3777589082278725,8.366370301681654,1.5,0,0,4,7,7.3777589082278725,0,1916,1916,98103,47.6648,-122.343,1610,4300
12-2014,12.14950229404178,2,1.0,7.090076835776092,9.195226734166134,1.0,0,0,4,7,7.090076835776092,0,1921,1921,98002,47.3089,-122.21,1060,5095
04-2015,12.345834587905333,3,1.0,7.1308988302963465,9.1874810778301,1.0,0,0,4,7,7.1308988302963465,0,1969,1969,98003,47.3343,-122.306,1280,8850
05-2014,12.86099861326992,4,1.75,7.3901814282264295,8.513185170018698,1.0,0,0,4,7,6.756932389247553,760,1947,1947,98133,47.7025,-122.341,1400,4980
08-2014,14.508657738524219,3,2.75,8.022896869601457,10.711457836917562,1.0,0,4,3,9,7.753623546559746,720,1968,1968,98040,47.5316,-122.233,4110,20336
07-2014,12.560244459250788,5,2.5,7.727535110475448,8.748304912379623,2.0,0,0,3,8,7.727535110475448,0,1995,1995,98092,47.3266,-122.169,2240,7005
05-2014,12.439958293376286,2,1.5,6.975413927455952,9.173987542510384,1.0,0,0,3,7,6.975413927455952,0,1985,1985,98030,47.3533,-122.166,1220,8386
11-2014,12.70381302974751,3,2.25,7.803843303538772,8.779557455883728,2.0,0,0,4,8,7.803843303538772,0,1985,1985,98030,47.3739,-122.172,2200,6865
11-2014,12.358793732547838,3,2.0,7.444248649496705,8.454679286026995,1.5,0,0,5,6,7.444248649496705,0,1941,1941,98002,47.3048,-122.218,1030,4705
06-2014,13.750438561220559,3,1.75,7.803843303538772,7.897668150726906,2.0,0,0,3,8,7.4673710669175595,700,1915,1915,98119,47.6386,-122.36,1760,3573
12-2014,13.410545324897761,3,1.0,7.24422751560335,7.365812837209472,1.5,0,0,5,8,7.24422751560335,0,1909,1909,98112,47.6221,-122.314,1860,3861
06-2014,12.989974189358584,3,1.75,7.326465613840322,8.760923376338836,1.0,0,0,3,7,6.672032945461067,730,1948,1948,98115,47.695,-122.304,1520,6235
03-2015,13.485616636703183,4,2.5,7.851661177889265,8.878079256126435,2.0,0,0,3,8,7.851661177889265,0,2005,2005,98052,47.7073,-122.11,2630,6026
11-2014,13.271645080120082,3,2.5,7.749322464660356,8.289037098278483,2.0,0,0,3,8,7.749322464660356,0,2003,2003,98027,47.5391,-122.07,2580,3980
12-2014,12.542544882151386,2,1.5,7.081708586105575,7.142827401161621,3.0,0,0,3,7,7.081708586105575,0,2005,2005,98133,47.7274,-122.357,1390,1756
06-2014,13.440817108522863,4,1.75,7.753623546559746,8.517193191416238,1.5,0,0,4,7,7.31986492980897,820,1929,1929,98117,47.6823,-122.368,1460,5000
